party,candidate_number,candidate_name,votes
25 Volt,1,"Broersen, J.",9018
,2,"Garmy, I.",772
,3,"Vesseur, E.",1118
,4,"Gravelotte, M.C.F.",187
,5,"Top, K.",833
,6,"Minnes, I.A.",288
,7,"Lemmen, L.",442
,8,"Hendriks, I.N.",68
,9,"Konings, F.E.",189
,10,"van Amesfoort, A.L.",146
,11,"van Laake, M.I.",180
,12,"Mulder, M.E.",100
,13,"Broerse, I.A.",156
,14,"Bouma, W.M.E.",107
,15,"Schreurs, S.",130
,16,"van Lanschot, R.J.A.",309
26 LEF - Voor de Nieuwe Generatie,1,"van Duijn, D.C.",375
,2,"ten Napel, M.C.C.L.",69
,3,"Wiersma, C.E.",68
,4,"Wijnen, K.T.H.",12
,5,"Berends, M.C.",45
,6,"Bennis, N.M.",11
,7,"Sjiem-Fat, S.D.",57
,8,"Moes, L.E.",9
,9,"de Vries, J.",6
,10,"Thierry, E.M.",8
,11,"Spaans, M.",11
,12,"Neijndorff, V.M.",11
,13,"Vanstone, B.J.",2
,14,"Simal Busto, A.",27
,15,"Verbunt, J.B.",1
,16,"Evers, J.C.",15
,17,"Hulst, P.W.",4
,18,"Marres, M.E.M.",6
,19,"Koch, M.C.",2
,20,"Visch, C.J.",3
,21,"de Campos, D.L.M.",18
,22,"Pala, M.P.M.",6
,23,"Scholte ter Horst, S.L.",2
,24,"van der Hoek, W.",8
,25,"van de Beek, T.",6
,26,"Winchester, S.R.",4
,27,"Gardner, E.J.",4
,28,"Hermsen, J.",8
,29,"Fruneaux, C.",11
,30,"van Heemstra, M.",39
