track_name,artist(s)_name,released_date (yyyy-mm),streams
"All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)","Future, Lil Uzi Vert, Metro Boomin",2023-6,37126685
Eyes Closed,Ed Sheeran,2023-3,195576623
Escapism.,"RAYE, 070 Shake",2022-10,532336353
La Jumpa,"Arcangel, Bad Bunny",2022-11,538115192
Karma (feat. Ice Spice),"Taylor Swift, Ice Spice",2023-5,46142772
Superhero (Heroes & Villains) [with Future & Chris Brown],"Future, Chris Brown, Metro Boomin",2022-12,401036314
Las Morras,"BLESSD, Peso Pluma",2023-4,127026613
CHORRITO PA LAS ANIMAS,Feid,2022-12,345031710
Ch y la Pizza,"Fuerza Regida, Natanael Cano",2022-12,288101651
Snow On The Beach (feat. More Lana Del Rey),"Lana Del Rey, Taylor Swift",2023-5,60350538
Players,Coi Leray,2022-11,335074782
Bite Me,ENHYPEN,2023-5,76767396
Stand By Me (feat. Morgan Wallen),"Lil Durk, Morgan Wallen",2023-5,46065667
Normal,Feid,2022-7,459276435
Hummingbird (Metro Boomin & James Blake),"James Blake, Metro Boomin",2023-6,39666245
Seu Brilho Sumiu - Ao Vivo,"Israel & Rodolffo, Mari Fernandez",2023-3,138517666
Bad Habit,Steve Lacy,2022-6,822633917
CUFF IT,Beyoncï¿,2022-7,595900742
Lilith (feat. SUGA of BTS) (Diablo IV Anthem),"Halsey, Suga",2023-6,51985779
69,"Nicky Jam, Feid",2023-5,57945987
Niï¿½ï¿½a Bo,"Sean Paul, Feid",2023-4,115010040
Search & Rescue,Drake,2023-4,175097833
AMERICA HAS A PROBLEM (feat. Kendrick Lamar),"Kendrick Lamar, Beyoncï¿",2023-5,57089066
Lavender Haze,Taylor Swift,2022-10,488386797
"Link Up (Metro Boomin & Don Toliver, Wizkid feat. BEAM & Toian) - Spider-Verse Remix (Spider-Man: Across the Spider-Verse )","WizKid, Toian, Metro Boomin, Don Toliver, Beam",2023-6,32761689
Efecto,Bad Bunny,2022-5,1047480053
Erro Gostoso - Ao Vivo,Simone Mendes,2023-1,153454328
Cupido,Tini,2023-2,217672943
Just Wanna Rock,Lil Uzi Vert,2022-10,457184829
Unstoppable,Sia,2016-1,939844851
Until I Found You,Stephen Sanchez,2021-9,726434358
Rich Flex,"Drake, 21 Savage",2022-11,573633020
Easy On Me,Adele,2021-10,1406111294
Cartï¿½ï¿½o B,"MC Caverinha, KayBlack",2023-5,71573339
Danger (Spider) (Offset & JID),"Offset, JID",2023-6,24975653
Oi Balde - Ao Vivo,Zï¿½ï¿½ Neto & Crist,2023-2,145458418
The Real Slim Shady,Eminem,2000-1,1424589568
MERCHO,"Migrantes, LiL CaKe, Nico Valdi",2022-12,231332117
The Color Violet,Tory Lanez,2021-12,415932686
Glimpse of Us,Joji,2022-6,988515741
Mejor Que Yo,"Mambo Kingz, DJ Luian, Anuel Aa",2023-5,50847624
Curtains,Ed Sheeran,2023-5,39893489
UNFORGIVEN (feat. Nile Rodgers),"Nile Rodgers, LE SSERAFIM",2023-5,92035115
Haegeum,Agust D,2023-4,118810253
Conexï¿½ï¿½es de Mï¿½ï¿½fia (feat. Rich ,"Rich The Kid, Matuï¿",2023-4,77233241
MIENTRAS ME CURO DEL CORA,Karol G,2023-2,206399629
Never Felt So Alone,Labrinth,2023-4,117747907
X SI VOLVEMOS,"Karol G, Romeo Santos",2023-2,266624541
ceilings,Lizzy McAlpine,2022-4,293186992
Cupid,Fifty Fifty,2023-2,139681964
I AM,IVE,2023-4,123132751
Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,sped up 8282,1997-1,103762518
Shorty Party,"Cartel De Santa, La Kelly",2023-3,162887075
Super,SEVENTEEN,2023-4,91221625
Slut Me Out,NLE Choppa,2022-4,190490915
Double Fantasy (with Future),"The Weeknd, Future",2023-4,96180277
All Of The Girls You Loved Before,Taylor Swift,2019-8,185240616
PROVENZA,Karol G,2022-4,885093467
Princess Diana (with Nicki Minaj),"Nicki Minaj, Ice Spice",2023-4,104992946
Di Que Si,"Grupo Marca Registrada, Grupo Frontera",2023-2,147290338
Shivers,Ed Sheeran,2021-9,1302184087
Igualito a Mi Apï¿,"Fuerza Regida, Peso Pluma",2022-12,158950978
Shoong! (feat. LISA of BLACKPINK),"TAEYANG, Lisa",2023-4,76910644
Komang,Raim Laode,2022-8,137123880
DESPECHï¿,ROSALï¿½,2022-7,782369383
Made You Look,Meghan Trainor,2022-10,502574952
Watch This - ARIZONATEARS Pluggnb Remix,"sped up nightcore, ARIZONATEARS, Lil Uzi Vert",2023-2,207033255
No Se Va,Grupo Frontera,2022-4,404887295
Punto G,Quevedo,2022-11,381161027
Lovers Rock,TV Girl,2014-6,466231982
METAMORPHOSIS,INTERWORLD,2021-11,357580552
Mami Chula,"Quevedo, Jhayco",2023-4,61105704
En Paris,"El Chachito, Junior H",2022-12,198275403
Set Me Free Pt.2,Jimin,2023-3,168448603
I Was Never There,"The Weeknd, Gesaffelstein",2018-3,705469769
Don't ever say love me (feat. RM of BTS),"RM, Colde",2023-5,34502215
Shut Down,BLACKPINK,2022-9,482175240
Gato de Noche,"Nengo Flow, Bad Bunny",2022-12,304118600
Call Out My Name,The Weeknd,2018-3,1449799467
Like Crazy (English Version),Jimin,2023-3,173627354
Rosa Pastel,"Jasiel Nuï¿½ï¿½ez, Peso P",2023-2,90025258
Sunroof,"Nicky Youre, Dazy",2021-12,652704649
Lose Yourself - Soundtrack Version,Eminem,2002-1,1829992958
Superman,"Eminem, Dina Rae",2002-5,655466831
Mas Rica Que Ayer,"Mambo Kingz, DJ Luian, Anuel Aa",2023-3,146409671
People Pt.2 (feat. IU),"IU, Agust D",2023-4,95816024
REMIX EXCLUSIVO,Feid,2023-3,117206995
"Arcï¿½ï¿½ngel: Bzrp Music Sessions, Vol","Arcangel, Bizarrap",2023-3,100409613
DOGTOOTH,"Tyler, The Creator",2023-3,80758350
10:35,"Tiï¿½ï¿½sto, Tate M",2022-11,325592432
SORRY NOT SORRY,"Tyler, The Creator",2023-3,58473276
HAPPY,NF,2023-3,52722996
La Bebe,Yng Lvcas,2021-12,191945597
I Know - PR1SVX Edit,"Kanii, PR1ISVX",2023-3,77377503
Late Night Talking,Harry Styles,2022-5,743693613
Leï¿½,Marï¿½ï¿½lia Mendo,2022-12,267789608
Save Your Tears (with Ariana Grande) (Remix),"Ariana Grande, The Weeknd",2020-3,1221813483
Something in the Orange,Zach Bryan,2022-4,449701773
VOID,Melanie Martinez,2023-3,67070410
Dijeron Que No La Iba Lograr,"Fuerza Regida, Chino Pacas",2023-3,116334601
Midnight Rain,Taylor Swift,2022-10,433356509
If We Ever Broke Up,Mae Stephens,2023-2,165584767
You Proof,Morgan Wallen,2022-5,367814306
LA INOCENTE,"Feid, Mora",2022-4,477033549
Malas Decisiones,Kenia OS,2022-10,156214700
Murder In My Mind,Kordhell,2022-1,448843705
Gangsta's Paradise,"Coolio, L.V.",1995-7,1357608774
CAIRO,"Karol G, Ovy On The Drums",2022-11,294352144
I Love You So,The Walters,2014-11,972164968
Dark Red,Steve Lacy,2017-2,920045682
Say You Won't Let Go,James Arthur,2016-9,2420461338
The Hills,The Weeknd,2015-5,1947371785
Heart To Heart,Mac DeMarco,2019-5,244658767
Peaches (from The Super Mario Bros. Movie),Jack Black,2023-4,68216992
Marisola - Remix,"Duki, NICKI NICOLE, Cris Mj, Standly, Stars Music Chile",2022-12,223582566
LOKERA,"Brray, Rauw Alejandro, Lyanno",2022-7,471819764
Low,SZA,2022-12,272377463
Numb,Linkin Park,2003-3,1361425037
Tormenta (feat. Bad Bunny),"Gorillaz, Bad Bunny",2023-2,149778242
on the street (with J. Cole),"j-hope, J. Cole",2023-3,116599790
One Thing At A Time,Morgan Wallen,2022-12,148469433
Miss You,"Robin Schulz, Oliver Tree",2022-8,497225336
Ainï¿½ï¿½ï¿½t Tha,Morgan Wallen,2023-3,88791109
Thinkinï¿½ï¿½ï¿½ B,Morgan Wallen,2023-3,125917280
Private Landing (feat. Justin Bieber & Future),"Don Toliver, Future, Justin Bieber",2023-2,105062254
Everything I Love,Morgan Wallen,2023-1,95623148
Heaven,Niall Horan,2023-2,144584800
LET GO,Central Cee,2022-12,298063749
Sial,Mahalini,2023-1,166570053
I Wrote The Book,Morgan Wallen,2023-1,83021468
"Apna Bana Le (From ""Bhediya"")","Arijit Singh, Sachin-Jigar",2022-11,139836056
SPIT IN MY FACE!,ThxSoMch,2022-10,303216294
PLAYA DEL INGLï¿½,"Myke Towers, Quevedo",2022-12,221409663
Man Made A Bar (feat. Eric Church),"Morgan Wallen, Eric Church",2023-3,58890931
Red Ruby Da Sleeze,Nicki Minaj,2023-3,81419389
Kahani Suno 2.0,Kaifi Khalil,2022-5,156777415
Nobody Gets Me,SZA,2022-12,284908316
PERO Tï¿,"Karol G, Quevedo",2023-2,93438910
Hype Boy,NewJeans,2022-8,363472647
Bloody Mary,Lady Gaga,2011-1,372476382
Monotonï¿½,"Ozuna, Shakira",2022-10,380726517
ýýý98 Braves,Morgan Wallen,2023-3,56533272
WANDA,Quevedo,2023-1,175399345
Thought You Should Know,Morgan Wallen,2022-5,203221468
In The End,Linkin Park,2000-10,1624165576
Zona De Perigo,Leo Santana,2022-12,134294498
Lovezinho,Treyce,2022-7,70069745
I Like You (A Happier Song) (with Doja Cat),"Post Malone, Doja Cat",2022-6,609293408
Neverita,Bad Bunny,2022-5,671365962
Vista Al Mar,Quevedo,2022-9,362361576
Sem Alianï¿½ï¿½a no ,"MC Xenon, Os Gemeos da Putaria",2022-12,93587665
Enemy (with JID) - from the series Arcane League of Legends,"Imagine Dragons, League of Legends, JID, Arcane",2021-9,1223481149
Revenge,XXXTENTACION,2017-8,1022258230
Bombonzinho - Ao Vivo,"Israel & Rodolffo, Ana Castela",2022-11,263453310
LA CANCIï¿½,"J Balvin, Bad Bunny",2019-6,1435127549
Quï¿½ï¿½ Ago,"Yuridia, Angela Aguilar",2022-10,236857112
Love Again,The Kid Laroi,2023-1,147538971
After Hours,The Weeknd,2020-2,698086140
About Damn Time,Lizzo,2022-7,723894473
Born With A Beer In My Hand,Morgan Wallen,2023-3,34450974
ýýýýýýýýýýýýýýýýýýýýý,Fujii Kaze,2020-5,403097450
Besos Moja2,"Wisin & Yandel, ROSALï¿½",2022-9,309483971
Maan Meri Jaan,King,2022-10,319566866
Moscow Mule,Bad Bunny,2022-5,909001996
My Universe,"Coldplay, BTS",2021-9,1061966512
Devil Donï¿½ï¿½ï¿½,Morgan Wallen,2023-3,32526947
LLYLM,ROSALï¿½,2023-1,124988687
I'm Not Here To Make Friends,"Sam Smith, Calvin Harris, Jessie Reyez",2023-1,103787664
TRUSTFALL,P!nk,2023-1,134255790
ANTIFRAGILE,LE SSERAFIM,2022-10,301051721
Boy's a liar,PinkPantheress,2022-11,156338624
VIBE (feat. Jimin of BTS),"TAEYANG, Jimin",2023-1,152850295
Shirt,SZA,2022-10,309653982
Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,Rihanna,2022-10,297328960
STAR WALKIN' (League of Legends Worlds Anthem),Lil Nas X,2022-9,332506354
"Sex, Drugs, Etc.",Beach Weather,2016-11,480507035
Boy With Luv (feat. Halsey),"Halsey, BTS",2019-4,1065580332
"Hey, Mickey!",Baby Tate,2016-9,122763672
Calm Down,Rï¿½ï,2022-2,445763624
Jhoome Jo Pathaan,"Arijit Singh, Vishal Dadlani, Sukriti Kakar, Vishal-Shekhar, Shekhar Ravjiani, Kumaar",2022-12,1365184
Escapism. - Sped Up,"RAYE, 070 Shake",2022-11,184308753
Space Song,Beach House,2015-1,789753877
Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],"BTS, Jung Kook, FIFA Sound",2022-11,323358833
Te Felicito,"Shakira, Rauw Alejandro",2022-4,606361689
Muï¿½ï¿½,"Steve Aoki, Tini, La Joaqui",2023-1,120972253
TV,Billie Eilish,2022-7,338564981
I'm Not The Only One,Sam Smith,2014-1,1606986953
Heather,Conan Gray,2020-3,1301799902
"Besharam Rang (From ""Pathaan"")","Vishal-Shekhar, Shilpa Rao, Caralisa Monteiro, Kumaar, Vishal Dadlani, Shekhar Ravjiani",2022-12,140187018
One Kiss (with Dua Lipa),"Calvin Harris, Dua Lipa",2017-6,1897517891
Sugar Rush Ride,TOMORROW X TOGETHER,2023-1,107642809
Pink Venom,BLACKPINK,2022-8,551305895
WAIT FOR U (feat. Drake & Tems),"Drake, Future, Tems",2022-4,556585270
Don't Start Now,Dua Lipa,2019-10,2303033973
After Dark,Mr.Kitty,2014-8,646886885
Eu Gosto Assim - Ao Vivo,"Gustavo Mioto, Mari Fernandez",2022-9,222612678
INDUSTRY BABY (feat. Jack Harlow),"Jack Harlow, Lil Nas X",2021-7,1814349763
MIDDLE OF THE NIGHT,Elley Duhï¿,2020-1,872137015
Atlantis,Seafret,2015-4,571386359
PUNTO 40,"Baby Rasta, Rauw Alejandro",2022-9,304079786
Evoque Prata,"DJ Escobar, MC MENOR SG, MC MENOR HR",2022-9,174006928
How Do I Say Goodbye,Dean Lewis,2022-8,284785823
Blind,SZA,2022-12,163284000
Die For You,Joji,2022-11,246390068
Doja,Central Cee,2022-7,482257456
Gatita,Bellakath,2022-10,168684524
Rumble,"Skrillex, Flowdan, Fred again..",2022-1,78489819
Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],"Travis Scott, 21 Savage, Metro Boomin",2022-12,195516622
Yonaguni,Bad Bunny,2021-6,1260594497
Super Freaky Girl,Nicki Minaj,2022-8,428685680
Running Up That Hill (A Deal With God),Kate Bush,1985-9,1024858327
Dream On,Aerosmith,1973-1,838586769
Limbo,Freddie Dredd,2022-8,199386237
Where Are You Now,"Lost Frequencies, Calum Scott",2021-7,972509632
WORTH NOTHING,"Twisted, Oliver Tree",2022-9,213438580
Bad Habits,Ed Sheeran,2020-9,1555511105
KICK BACK,Kenshi Yonezu,2022-10,210038833
Evergreen (You Didnï¿½ï¿½ï¿½t Deserve Me A,Omar Apollo,2022-4,227918678
